source_name,item_date,relevance_score,matched_topics,title,source_url,summary
RUG latest news,2026-04-14,44,"drug development, RUG",Burgemeesters sluiten zo’n 1 tot 5 panden per jaar in verband met drugshandel. Maar helpt dat ook?,https://www.rug.nl/rechten/news/archief/2026/wodc-onderzoek-wet-damocles,Burgemeesters in Nederland sloten de afgelopen jaren gemiddeld zo’n 1 tot 5 panden per jaar in verband met drugshandel. Dat blijkt uit onderzoek van de Faculteit Rechtsgeleerdheid van de Rijksuniversiteit Groningen.
RUG latest news,2026-04-01,32,AI/data,'Ik wil bereiken dat personen die getroffen zijn door datalekken toegang hebben tot effectieve rechtsmiddelen en overal gelijk worden behandeld',https://www.rug.nl/rechten/news/archief/2026/sophia-salziger-datalekken,"Sophia Salziger over haar promotieonderzoek naar de mogelijkheid om immateriële schade te claimen wanneer je persoonsgegevens zijn gelekt, zoals onlangs gebeurde na de Odido-hack."
RUG latest news,2026-03-30,20,,Van fietshelmen tot vapen: waar ligt de grens tussen persoonlijke vrijheid en overheidsingrijpen?,https://www.rug.nl/rechten/news/archief/2026/brigit-toebes-dat-maak-ik-zelf-wel-uit,"Vaccinatie, fietshelmen, alcohol, gezonde voeding, abortus, opendeurenbeleid in het verpleeghuis: actuele kwesties waarbij de afweging tussen gezondheid en vrijheid een rol speelt. Brigit Toebes schreef er het boek 'Dat maak ik zelf wel uit – reflecties over gezondheid, vrijheid en recht over'"
RUG latest news,2026-03-20,32,AI/data,Nieuwe podcastaflevering Recht op nieuws: het demonstratierecht onder druk,https://www.rug.nl/rechten/news/archief/2026/recht-op-nieuws-demonstratierecht,"Het is een onderwerp dat actueler en gevoeliger is dan ooit: de toekomst van de demonstratievrijheid. Daarover gaat presentator Jan Brouwer in gesprek met universitair hoofddocent Berend Roorda, specialist op het gebied van het demonstratierecht en promovenda Noor Swart in de nieuwste aflevering van podcast Recht op nieuws."
RUG latest news,2026-03-17,20,,Bedelen mag… behalve in de meeste grote gemeenten,https://www.rug.nl/rechten/news/archief/2026/zichtbaar-onzichtbaar-bedelen-in-onze-samenleving,"Het verbod op bedelarij is in 2000 uit het wetboek van strafrecht gehaald, maar ondertussen is bedelen op veel plekken nog altijd niet toegestaan. Sterker nog: door maatregelen in de Algemene Plaatselijke Verordeningen zijn regels soms strenger dan voorheen. Dat blijkt uit onderzoek van juristen Els Schipaanboord, Stefan van Tongeren en Michel Vols van de faculteit Rechtsgeleerdheid."
RUG latest news,2026-03-09,20,,‘Deze keer heb ik de helletocht door de archieven gemaakt’,https://www.rug.nl/rechten/news/archief/2026/de-ongenaakbare-frits-bolkestein,NOS-journalist Dik Verkuil promoveert 12 maart op zijn 66ste bij de faculteit Rechtsgeleerdheid op de biografie van de ongenaakbare VVD-politicus Frits Bolkestein (1933-2025). Het werd tijd. ‘Ik heb me altijd een gemankeerde academicus gevoeld.’
RUG latest news,2026-02-27,20,,Faculteit Rechtsgeleerdheid draagt bij aan snellere woningbouw,https://www.rug.nl/rechten/news/archief/2026/versnellen-woningbouw-collectief-watergebruik,"Nederland staat voor de opgave om jaarlijks 100.000 woningen te realiseren, terwijl de beschikbaarheid van drinkwater onder druk staat. De faculteit rechtsgeleerdheid van de Rijksuniversiteit Groningen werkt mee aan een grootschalig innovatieproject dat nieuwbouwprojecten naar verwachting met circa 6 tot 18 maanden kan versnellen."
RUG latest news,2026-02-19,20,,Recht op Nieuws goes English: Law Today over windparken op de Noordzee,https://www.rug.nl/rechten/news/archief/2026/law-today-offshore-wind,"Op 26 januari 2026 ondertekenden negen Europese landen – van Nederland tot Noorwegen – een verklaring om de samenwerking op het gebied van offshore windenergie te versterken. Hun doel? 300 gigawatt aan capaciteit, een project dat de energieprijzen voor miljoenen Europese burgers zou kunnen veranderen."
